section,name,value,value_percent
meta,algorithm,ahp,
,,,
criteria_weights,,,
criteria_weight,Важно,0.5119463869496927,51.19463869496927
criteria_weight,Тестировать,0.36013986014151306,36.01398601415131
criteria_weight,Критерии,0.12791375290879423,12.791375290879422
,,,
ranking,,,
ranking,Дорого,0.6115566297704202,61.15566297704203
ranking,Богато,0.2493599344998218,24.93599344998218
ranking,Дешево,0.13908343572975793,13.908343572975793
,,,
consistency,cr,0.09366504422028554,
consistency,is_consistent,True,
