section,name,value,value_percent
meta,algorithm,ahp,
,,,
criteria_weights,,,
criteria_weight,Критерий 1,0.29642857142857143,29.642857142857142
criteria_weight,Критерий 2,0.24642857142857144,24.642857142857146
criteria_weight,Критерий 3,0.21071428571428572,21.071428571428573
criteria_weight,Критерий 4,0.24642857142857144,24.642857142857146
,,,
ranking,,,
ranking,Альтернатива 1,0.4710291692434549,47.102916924345486
ranking,Альтернатива 2,0.2872822613894042,28.72822613894042
ranking,Альтернатива 3,0.24168856936714078,24.16885693671408
,,,
consistency,cr,0.022467801827687792,
consistency,is_consistent,True,
