section,name,value,value_percent
meta,algorithm,ahp,
,,,
criteria_weights,,,
criteria_weight,Критерий 1,0.267609126984127,26.760912698412696
criteria_weight,Критерий 2,0.35094246031746035,35.09424603174603
criteria_weight,Критерий 3,0.1416170634920635,14.161706349206348
criteria_weight,Критерий 4,0.2398313492063492,23.983134920634917
,,,
ranking,,,
ranking,Альтернатива 1,0.3778379528903243,37.783795289032426
ranking,Альтернатива 2,0.3660002113960735,36.60002113960735
ranking,Альтернатива 3,0.2561618357136021,25.616183571360214
,,,
consistency,cr,0.0956632812697538,
consistency,is_consistent,True,
