section,name,value,value_percent
meta,algorithm,ahp,
,,,
criteria_weights,,,
criteria_weight,Критерий 1,0.44131278590457695,44.1312785904577
criteria_weight,Критерий 2,0.10876397580978732,10.876397580978733
criteria_weight,Критерий 3,0.21093802572310721,21.09380257231072
criteria_weight,Критерий 4,0.2389852125625285,23.89852125625285
,,,
ranking,,,
ranking,Альтернатива 1,0.49626847910170246,49.62684791017025
ranking,Альтернатива 2,0.29967947677732804,29.967947677732802
ranking,Альтернатива 3,0.20405204412096933,20.405204412096932
,,,
consistency,cr,5.807401514993968,
consistency,is_consistent,False,
